Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D69,1N4148,D_SOD-123,238.125200,-123.825104,90.000000,bottom
D70,1N4148,D_SOD-123,185.737656,-85.725072,90.000000,bottom
D71,1N4148,D_SOD-123,204.787672,-85.725072,90.000000,bottom
D72,1N4148,D_SOD-123,223.837688,-85.725072,90.000000,bottom
D73,1N4148,D_SOD-123,242.887704,-85.725072,90.000000,bottom
D74,1N4148,D_SOD-123,285.750240,-85.725072,90.000000,bottom
D75,1N4148,D_SOD-123,100.012584,-104.775088,90.000000,bottom
D76,1N4148,D_SOD-123,119.062600,-104.775088,90.000000,bottom
D77,1N4148,D_SOD-123,138.112616,-104.775088,90.000000,bottom
D78,1N4148,D_SOD-123,157.162632,-104.775088,90.000000,bottom
D79,1N4148,D_SOD-123,176.212648,-104.775088,90.000000,bottom
D80,1N4148,D_SOD-123,195.262664,-104.775088,90.000000,bottom
D81,1N4148,D_SOD-123,214.312680,-104.775088,90.000000,bottom
D82,1N4148,D_SOD-123,233.362696,-104.775088,90.000000,bottom
D83,1N4148,D_SOD-123,267.890850,-104.775088,90.000000,bottom
D84,1N4148,D_SOD-123,285.750240,-104.775088,90.000000,bottom
D85,1N4148,D_SOD-123,33.337528,-85.725072,90.000000,bottom
D86,1N4148,D_SOD-123,52.387544,-85.725072,90.000000,bottom
D87,1N4148,D_SOD-123,71.437560,-85.725072,90.000000,bottom
D88,1N4148,D_SOD-123,90.487576,-85.725072,90.000000,bottom
D89,1N4148,D_SOD-123,152.400128,-123.825104,90.000000,bottom
D90,1N4148,D_SOD-123,361.950304,-85.725072,90.000000,bottom
D91,1N4148,D_SOD-123,381.000320,-85.725072,90.000000,bottom
D92,1N4148,D_SOD-123,401.240962,-85.725072,90.000000,bottom
D93,1N4148,D_SOD-123,398.859710,-85.725072,90.000000,bottom
D94,1N4148,D_SOD-123,44.053162,-104.775088,90.000000,bottom
D95,1N4148,D_SOD-123,41.671910,-104.775088,90.000000,bottom
D96,1N4148,D_SOD-123,61.912552,-104.775088,90.000000,bottom
D97,1N4148,D_SOD-123,80.962568,-104.775088,90.000000,bottom
D98,1N4148,D_SOD-123,261.937720,-123.825104,90.000000,bottom
D99,1N4148,D_SOD-123,285.750240,-123.825104,90.000000,bottom
D100,1N4148,D_SOD-123,333.375280,-104.775088,90.000000,bottom
D101,1N4148,D_SOD-123,361.950304,-104.775088,90.000000,bottom
D102,1N4148,D_SOD-123,381.000320,-104.775088,90.000000,bottom
D103,1N4148,D_SOD-123,401.240962,-104.775088,90.000000,bottom
D104,1N4148,D_SOD-123,398.859710,-104.775088,90.000000,bottom
D105,1N4148,D_SOD-123,23.812520,-123.825104,90.000000,bottom
